Universe, creation|Вселенная, создание
agree, agreement, concur, accede, think the same, think alike, hold the same view, be of the same mind, be of like mind, like-minded, be in accord, be of one accord, be united, be in the same place, be together on something, be with someone, coincide in our thinking,|согласен, соглашение, CONCUR, присоединиться, думаю, то же самое, думаю, так держите ту же точку зрения, быть в единомыслии, быть единомышленниками, единомышленников, быть в согласии, быть единодушно, быть едины, быть в то же самое место, быть вместе на что-то, быть с кем-то, совпадают в нашем мышлении,
(2) What words refer to two people coming to agreement?|(2) Какие слова относятся к двум людей, приезжающих к соглашению?
come to an agreement, come together, ratify a treaty|прийти к соглашению, собрались вместе, ратифицировать договор
(3) What words refer to the act or state of agreeing?|(3) Какие слова относятся к акту или государства согласования?
agreement, like-mindedness, cooperation, unity, concord, be in congruity,|Соглашение, единомыслия, сотрудничество, единство, согласие, быть в конгруэнтности,
(4) What words refer to a written document expressing agreement?|(4) Какие слова относятся к письменным документом, выражающей согласие?
written agreement, peace accord, peace treaty|письменное соглашение, мирное соглашение, мирный договор
(5) What words refer to a gesture expressing agreement?|(5) Какие слова относятся к жеста, выражающего согласие?
shake hands, shake on it, kiss, holding hands, bow, nod in agreement|пожать друг другу руки, встряхните на него, целовать, держась за руки, лук, кивок в знак согласия
(6) What words refer to changing your thinking so that you agree with someone else?|(6) Какие слова относятся к изменению вашего мышления, так, что Вы согласны с кем-то еще?
accede, accession, accept, acquiesce, acquiescence, give assent, consent, yield, grant a point,|присоединиться, присоединение, принимает, согласиться, согласие, согласие дать, согласие, выход, предоставлять точку,
(7) What words refer to two people compromising?|(7) Какие слова относятся к двум людям ущерба?
compromise|компромисс
Disagree|Не соглашаться
Use this domain for when two people disagree about something.|Используйте этот домен для, когда два человека не согласны о чем-то.
(1) What words refer to when two people disagree?|(1) Какие слова в виду, когда два человека не согласны?
disagree, disagreement, think differently, dissent, dissenting, contest (v),|согласен, разногласия, думать по-другому, инакомыслие, особое, конкурс (v),
Protest|Протест
Use this domain for words related to protesting--to say publicly that you do not like something.|Используйте этот домен для слов, связанных с протестуют - сказать публично, что вам не нравится что-то.
(1) What words refer to protesting?|(1) Какие слова относятся к протестуют?
protest (v), object to, remonstrate, speak out against,|Протест (v), возражать, протестовать, выступать против,
(2) What words refer to many people protesting?|(2) То, что слова относятся к много людей протестуют?
storm of protest, outcry against, outcry over, public outcry, boycott,|буря протеста, протест против, протестов по, общественный резонанс, бойкот,
(3) What words refer to someone who protests?|(3) Какие слова относятся к тому, кто протестует?
protester, demonstrator, dissident, marcher, objector,|Протестующий, демонстратор, диссидент, участник похода, возражение,
(4) What words refer to something someone protests about?|(4) Какие слова относятся к чему-то кто-то протестует о?
protest (n), objection, remonstrance,|протеста (п), возражение, протест,
(5) What words refer to many people protesting in a group?|(5) Какие слова относятся к многих протестующих в группе?
protest, demonstrate, march, boycott, riot, in protest,|протест, продемонстрировать, марш, бойкот, бунт в знак протеста,
(6) What words refer to when many people protest in a group?|(6) Какие слова в виду, когда многие люди протестуют в группе?
protest (n), demonstration, march, rally, riot, unrest, civil disobedience, peaceful demonstration, placard,|Протест (п), демонстрация, шествие, митинг, бунт, беспорядки, гражданское неповиновение, мирная демонстрация, плакат,
(7) What words describe something done in protest?|(7) Какие слова описывают что-то сделать в знак протеста?
protest (adj),|Протест (прил),
(8) What do people do when they are protesting against something?|(8) Что делают люди, когда они протестуют против чего-то?
boo (v), boo (n), booing,|Бу (V), Бу (п), свист,
(9) What do people say when they are protesting against something?|(9) Что люди говорят, когда они протестуют против чего-то?
Down with (someone/something)! No more (something)!|Долой (кто-то что-то) /! Нет больше (что-то)!
Philosophy|Философия
Use this domain for words referring to a set of beliefs about truth.|Используйте этот домен для слов, относящихся к набору представлений о правде.
(1) What words refer to a set of beliefs about truth?|(1) Какие слова относятся к набору представлений о правде?
philosophy, orientation, frame of reference, worldview|Философия, ориентация, система отсчета, мировоззрение
(2) What words refer to a person who attempts to define a set of beliefs?|(2) То, что слова относятся к человеку, который пытается определить набор убеждений?
philosopher, sage|философ, мудрец
(3) What words refer to a group of philosophers?|(3) Какие слова относятся к группе философов?
Epicurean, Stoic, school (of thought)|Эпикуреец, стоик, школа (мысли)
Attitude|Отношение
Use this domain for words referring to a person's attitude--the way you think and feel about something.|Используйте этот домен для слов, относящихся к позиции человека - как вы думаете, и думаете о чем-то.
(1) What words refer to a person's opinions and feelings about something?|(1) Какие слова относятся к мнениям человека и чувства о чем-то?
attitude, mentality, way of thinking, outlook, worldview|отношение, менталитет, образ мышления, мировоззрение, мировоззрение
Extreme belief|Экстремальные вера
Use this domain for words referring to an extreme belief--something that you believe, that most people think is not good.|Используйте этот домен для слов, относящихся к крайней вере - что-то, что вы считаете, что большинство людей думают, это не хорошо.
(1) What words describe strong opinions and beliefs, which most people regard as extreme?|(1) Какие слова описывают сильные мнения и убеждения, которые большинство людей считают крайности?
extreme, hard-line, far-left, far-right, idealistic, out in left field|экстрим, жесткой линии, далеко влево, далеко-право, идеалистический, в левом поле
(2) What words refer to a person who holds extreme beliefs?|(2) То, что слова относятся к человеку, который держит экстремальных убеждения?
extremist, hardliner, leftist, idealist, fanatic, zealot|экстремист, сторонник жесткой линии, левая, идеалист, фанатик, фанатик
Change your mind|Изменить свой ум
Use this domain for words related to changing your mind--to change what you think about something, or change your plans or decisions.|Используйте этот домен для слов, связанных к передумать - изменить то, что вы думаете о чем-то, или менять свои планы или решения.
(1) What words refer to changing a decision?|(1) Какие слова относятся к изменению решения?
change plans, change your mind, rethink, have second thoughts, backtrack, U-turn|изменить планы, передумаете, переосмыслить, есть второй мысли, отступить, разворот
(2) What words describe a person who is willing to change his mind?|(2) Какие слова описывают человека, который готов изменить свое мнение?
open, open-minded|открытый, открытый
(3) What words refer to changing your mind many times?|(3) Какие слова относятся к передумать много раз?
vacillate, go back and forth between, waver|колебаться, идти вперед и назад между ними, колебаться
(4) What words describe a person who keeps changing his mind?|(4) Какие слова описывают человека, который держит передумал?
fickle|непостоянный
(5) What words refer to refusing to change your mind?|(5) Какие слова относятся к отказываются изменить свое мнение?
stand firm, stand your ground, stick to your guns|твердо стоять, стоять на своем, придерживаться ваших орудий
(6) What words describe a person who refuses to change his mind?|(6) Какие слова описывают человека, который отказывается изменить свое мнение?
closed, close minded, rigid, inflexible, entrenched, reactionary, diehard, intransigent, have fixed ideas, stick in the mud|закрытые, близкие единомышленников, жесткие, негибкие, укоренившиеся, реакционные, несгибаемые, непримиримые, имеют фиксированные идеи, завязнуть в грязи
Approve of something|Утвердить то
Use this domain for words related to approving of doing something--to think that doing something is good.|Используйте этот домен для слов, связанных с утверждения что-то делать - думать, что делать что-то хорошее.
(1) What words refer to approving of something?|(1) Какие слова относятся к утверждению о чем-то?
approve, meet with someone's approval, agree with, believe in, condone, endorse, be for, be in favor of, okay (v), give it your okay, pass, sanction, subscribe, sustain, think something is right, uphold, value (v), think something is right,|утверждают, встретиться с одобрения кто-то, согласен, верят, потворствовать, одобрить, быть для, в пользу, в порядке (v), дать ему ваш хорошо, проходят, санкция, подпишитесь, поддерживать думаю что правильно, поддерживать, значение (v), думаю, что правильно,
(2) What words refer to approving of something very much?|(2) То, что слова относятся к утверждению о чем-то очень много?
be all for, be all in favor of, be a great believer in, be an advocate of|все будет для, все будет в пользу, быть очень верю в, быть защитником
(3) What words refer to someone's approval?|(3) Какие слова относятся к утверждению чьей-то?
approval, approbation, advocacy, endorsement, sanction,|утверждение, апробация, защита, поддержка, санкция,
(4) What words describe something that someone approves of?|(4) Какие слова описывают то, что кто-то утверждает?
admirable, creditable, estimable, honorable, meritorious,|восхищения, похвально, почтенный, почетный, обоснованным,
(5) What words refer to not approving of something?|(5) Какие слова относятся не одобряя что-то?
not approve, condemn, critical, critique, deprecate, disapprove of, disapproving, disqualify, frown on, invalidate, reject, take a dim view of, have a low opinion of, think badly of,|не одобряет, осуждает, критический, критика, осуждать, не одобряют, неодобрительно, дисквалифицировать, осуждают, недействительными, отклонить, принять тусклый вид, имеют низкий мнение, плохо думать,
(6) What words refer to someone's disapproval?|(6) Какие слова относятся к чьей-то неодобрение?
disapproval, disapprobation, disfavor, rejection,|неодобрение, осуждение, немилость, отказ,
(7) What words describe something that someone does not approve of?|(7) Какие слова описывают то, что кто-то не одобряет?
abominable, blameworthy, deplorable, despicable, detestable, dishonorable, execrable, lamentable, reprehensible, unsatisfactory,|скверных порицания, прискорбно, презренный, отвратительный, бесчестный, отвратительный, плачевное, предосудительного, неудовлетворительным,
(8) What words refer to saying that you disapprove of something?|(8) Какие слова относятся к говорю, что вы не одобряете то?
voice your disapproval, express your disapproval, register your disapproval, condemn, denounce, deplore,|Выскажите свое неодобрение, выразить свое неодобрение, впишите вашу неодобрение, осуждать, осуждать, сожалеем,
(9) What words refer to looking at someone in a disapproving way?|(9) Какие слова относятся к глядя на кого-то в неодобрительным образом?
give someone a disapproving look, give someone a dirty look, frown, look askance,|дать кому-то неодобрительный взгляд, дать кому-то грязный вид, хмуриться, смотреть косо,
(10) What words describe something said in a disapproving way?|(10) Какие слова описывают то сказал в неодобрительным образом?
disapproving, derogatory, pejorative,|неодобрительно, уничижительное, уничижительное,
(11) What words refer to when people start to disapprove of something?|(11) Какие слова относятся к тому, когда люди начинают неодобрительно что-то?
fall into disrepute,|дурную славу,
Remember|Запомнить
Use this domain for words referring to remembering something you know.|Используйте этот домен для слов, относящихся к вспомнив что-то вы знаете.
(1) What words refer to remembering something?|(1) Какие слова относятся к вспомнив что-то?
remember, recall, remind oneself, call to mind, bring to mind, think of, recognize, recognition, recollect, review, come (back) to, mindful, heed, think, in retrospect,|помните, помните, напомнить себя, чтобы позвонить в виду, довести до ума, думаю, признать, признание, вспомните, обзор, пришел (назад), чтобы, помня, Смотрите, думаю, в ретроспективе,
(2) What words refer to memorizing something?|(2) То, что слова относятся к запоминанию что-нибудь?
memorize, commit to memory|Запомните, совершают в память
(3) What words refer to causing someone to think of or remember something?|(3) Какие слова относятся к вызывая кого-то, чтобы думать о или вспомнить что-нибудь?
remind, bring up, prompt, jog someone's memory, jog your mind,|Напомним, воспитывать, подскажите, кто-то бегать памяти, бегать ваш разум,
(4) What words refer to something that reminds a person of something?|(4) Какие слова относятся к чему-то, что напоминает человека-то?
reminder, note, memo, memorandum, cue, souvenir, memorial, remembrance,|Напомним, обратите внимание, памятка, меморандум, кий, сувенир, мемориал, память,
(5) What words refer to remembering things that happened in the past?|(5) Какие слова относятся к запоминанию, что было в прошлом?
reminisce, recall, think back on|вспомнить, вспомнить, вспомнить о
(6) What words refer to the things a person remembers?|(6) Какие слова относятся к вещам человек помнит?
memory, recollection,|памяти, воспоминание,
(7) What words refer to remembering to do something?|(7) Какие слова относятся к запоминанию, чтобы сделать что-то?
heed, mind, mindful, respond,|Смотрите, ум, помня, ответить,
(8) What words refer to remembering something good?|(8) Какие слова относятся к вспомнив что-то хорошее?
cherish (a memory/thought), treasure|лелеять (память / мысли), сокровище
(9) What words refer to remembering something bad?|(9) Какие слова относятся к вспомнив что-то плохое?
regret, rue the day|жалею, РУП день
Forget|Забывать
Use this domain for words referring to forgetting something.|Используйте этот домен для слов, относящихся к забывая что-то.
(1) What words refer to not remembering something?|(1) Какие слова относятся не вспомнив что-то?
forget, didn't think of it, overlook, draw a blank, escape me, slip my mind, fly right out of your mind, lose your train of thought, lose track of,|забыть, не думать о нем, выходят, рисовать пустым, бежать мне, скольжения мой ум, летать прямо из вашего ума, потерять поезд мысли, терять,
(2) What words refer to failing to remember to do something?|(2) То, что слова относятся к неспособности вспомнить что-то сделать?
neglect, omit, let something pass, slip, unmindful, miss|безнадзорности, опустить, пусть что-то проход, скольжения, не обращая внимания, мисс
(3) What words describe someone who has trouble remembering?|(3) Какие слова описывают, кто имеет проблемы с запоминанием?
forgetful, absentminded|забывчивым, рассеянным
(4) What words refer to forgetting many things because of a head injury?|(4) Какие слова относятся к забывая много вещей из-за травмы головы?
amnesia|амнезия
Recognize|Признать
Use this domain for words referring to recognizing something.|Используйте этот домен для слов, относящихся к признанию что-то.
(1) What words refer to recognizing something?|(1) Какие слова относятся к признанию что-то?
distinguish, identify, know, place, realize, recognize, recognition, pick out, tell, not mistake|выделить, определить, знаете, место, понимают, признают, признание, выбрать, скажите, не путайте
(2) What words describe something that you can recognize?|(2) Какие слова описывают то, что вы можете признать?
recognizable, familiar, unmistakable|узнаваемый, знакомый, безошибочно
(3) What words describe something that you can't recognize?|(3) Какие слова описывают то, что вы не можете признать?
unrecognizable, unfamiliar, strange, changed beyond all recognition|неузнаваемым, незнакомый, странный, изменился до неузнаваемости
Memorize|Запоминать
Use this domain for words referring to memorizing something--to think hard about something so that you will not forget it.|Используйте этот домен для слов, относящихся к запоминанию что-то - подумать о чем-то трудно, так что вы не забудете его.
(1) What words refer to memorizing something?|(1) Какие слова относятся к запоминанию что-нибудь?
memorize, commit to memory, make a mental note, record, remember, store,|Запомните, совершают в память, сделать психического сведению, запись, помните, магазин,
Remind|Напоминать
Use this domain for words referring to reminding someone about something--to make someone remember something.|Используйте этот домен для слов, относящихся к напомнив кто-то о чем-то - кто-то, чтобы сделать что-то вспомнить.
(1) What words refer to reminding someone of something they must do or something they should know?|(1) Какие слова относятся к напомнив кто-то что-то они должны сделать или что-то они должны знать?
remind, jog someone's memory, refresh someone's memory, prompt, be a reminder, reminder,|Напомним, бегать чью-то память, обновить чью-то память, подскажите, быть напоминание, напоминание,
(2) What words refer to reminding someone of a person or something that happened in the past?|(2) То, что слова относятся к напомнив кто-то человека или что-то, что произошло в прошлом?
remind, be a reminder, bring back memories, take someone back, drag up, rake up, evoke, evocative, make someone think of,|Напомним, быть напоминанием, вернуть воспоминания, взять кого-то еще, перетащите вверх, сгребать, вызывают, воспоминания, заставить кого-то думать,
Expect|Ожидать
Use this domain for words referring to thinking about the future.|Используйте этот домен для слов, относящихся к думать о будущем.
(1) What words refer to how a person thinks about the future?|(1) Какие слова относятся к тому, как человек думает о будущем?
expect, feel satisfied, feel dissatisfied, expect with certainty, expect uncertainly, be looking at, anticipate, await, suspense|ожидать, чувствовать себя удовлетворенным, чувствовать недовольны, ожидать с уверенностью, ожидать неуверенно, смотреть на, предвидеть, ждите, саспенс
(2) What words refer to something that may happen in the future?|(2) То, что слова относятся к чему-то, что может произойти в будущем?
expectation, prospect, possibility|ожидание, перспектива, возможность
(3) What words refer to an expectation happening?|(3) Какие слова относятся к ожиданию происходит?
come true, come about, be fulfilled, materialize|сбываются, произошло, быть выполнены, материализуются
(4) What words refer to an expectation not happening?|(4) Какие слова относятся к ожиданию не происходит?
not come true, fail to materialize|не сбылись, не оправдались
Hope|Надеяться
Use this domain for words related to hoping that something will happen--to want something good to happen in the future.|Используйте этот домен для слов, связанных с надеясь, что что-то произойдет - хотеть что-то хорошее произойдет в будущем.
(1) What words refer to hoping that something good will happen in the future?|(1) Какие слова относятся к надежде, что что-то хорошее произойдет в будущем?
hope, look forward to, anticipate, eagerly await, bide, desire, dream, be optimistic, wish for, fulfill hope,|надеюсь, с нетерпением ждем, предвидеть, с нетерпением ждут, биде, желание, мечта, быть оптимистом, желание, исполнить надежду,
(2) What words refer to something good that may happen in the future?|(2) То, что слова относятся к чему-то хорошее, что может произойти в будущем?
hope (n), wish (n)|надеюсь, (п), желание (п)
Hopeless|Безнадежный
Use this domain for words related to feeling hopeless--to thinking that nothing good will happen in the future.|Используйте этот домен для слов, связанных с безнадежным чувство - думать, что ничего хорошего из этого не произойдет в будущем.
(1) What words refer to feeling hopeless?|(1) Какие слова относятся к чувству безнадежно?
hopeless, lose hope, cynical, cynicism, despair, fatalistic, fatalism, pessimistic, pessimism|безнадежно, теряют надежду, циничный, цинизм, отчаяние, фаталистическая, фатализм, пессимистично, пессимизм
Predict|Прогнозировать
Use this domain for words referring to predicting the future--saying what you think will happen.|Используйте этот домен для слов, относящихся к прогнозированию будущего - говорят, что вы думаете, что произойдет.
(1) What words refer to predicting what you think will happen in the future?|(1) Какие слова относятся к предсказанию, что вы думаете, что произойдет в будущем?
claim, forecast, foretell, predict, prognosticate, prophesy,|претензии, прогноз, предсказать, спрогнозировать, прогнозировать, пророчествовал,
Tendency|Тенденция
Use this domain for words indicating that the speaker thinks that something tends to be a certain way.|Используйте этот домен для слов, обозначающих, что спикер считает, что что-то, как правило, определенным образом.
(1) What words indicate that the speaker thinks that something tends to be a certain way?|(1) Какие слова показывают, что спикер считает, что что-то, как правило, определенным образом?
tend, have a tendency, lean a certain way, apt to, prone to, proclivity, predilection, bent, bias, leaning, penchant, inclination, propensity, susceptibility, likelihood, liable to, trend, drift, conducive to, leads in the direction of, dispose, incline toward, gravitate toward, likely|как правило, имеют тенденцию, опираться на определенный путь, склонны, склонной к, склонность, пристрастие, изогнутые, смещения, опираясь, склонность, влечение, склонность, восприимчивость, вероятность, подлежит, тенденция, дрейф, способствует, приводит в Направление, распоряжаться, склоняются к, тяготеют к, вероятно,
Want|Хотеть
Use this domain for words related to wanting something or wanting to do something.|Используйте этот домен для слов, связанных с желая что-то или желая сделать что-то.
(1) What words refer to wanting something?|(1) Какие слова относятся к желанию что-то?
want, desire, wish, long for, yearn, crave, hunger, thirst, be attracted to, fancy, have a fancy for, intent on|хочу, желание, желание, долго, для, тоскуют, жаждут, голод, жажда, будут привлечены к, фантазии, есть воображение, для намерениях по
(2) What words refer to wanting to do something?|(2) То, что слова относятся к желанию сделать что-то?
want to, wish you could, aspire to, feel like, hope you can, interested in, raring to, have an urge to,|хочу, желаю вам может, стремятся, чувствую, как, надеюсь, что вы можете, интересует, нетерпеливость, есть желание,
(3) What words refer to something someone wants?|(3) Какие слова относятся к чему-то кто-то хочет?
want (n), desire (n), wish (n), longing, yearning, craving, mania, obsession,|хотите (п), желание (п), желание (п), тоска, тоска, стремление, мания, одержимость,
(4) What words describe something that people want?|(4) Какие слова описывают то, что люди хотят?
desirable,|Желательно,
(5) What words describe something that people don't want?|(5) Какие слова описывают то, что люди не хотят?
unwanted, undesirable,|нежелательное, нежелательно,
Decide, plan|Решите, планируется
Use this domain for words related to deciding to do something.|Используйте этот домен для слов, связанных с решив что-то сделать.
(1) What words refer to deciding to do something?|(1) Какие слова относятся к решив что-то сделать?
decide, decide on, decide against, choose, plan, conclude that, determine your course, strategize|решить, принять решение о, принять решение в отношении, выбирать, план, сделать вывод, что определить свой курс, стратегию
(2) What words refer to what is decided?|(2) То, что слова относятся к тому, что решил?
decision, choice, plan, course, strategy|Решение, выбор, план, конечно, стратегия
Purpose, goal|Цель, цель
Use this domain for words referring to a goal--something that you want to do or something that you want to happen.|Используйте этот домен для слов, относящихся к цели - то, что вы хотите сделать или что-то, что вы хотите, чтобы произошло.
(1) What words refer to the purpose of what you are doing?|(1) Какие слова относятся к цели, что вы делаете?
purpose, goal, aim (n), design (n), desire (n), destination, end, function, idea, intent, intention, object, objective, plan, the point, proposal, reason, target, use (n),|Цель, цель, цель (п), дизайн (п), желание (п), назначения, конец, функции, идеи, намерения, намерения, объект, цель, план, точка, предложение, разум, цель, использовать (п) ,
(2) What words refer to the purpose of something someone says?|(2) То, что слова относятся к цели что-то кто-то говорит?
point, implication, mean, be driving at, be trying to say,|точка, подразумевается, означает, быть за рулем в, пытается сказать,
(3) What words refer to the purpose of something like a machine or tool?|(3) Какие слова относятся к цели что-то вроде машины или инструмента?
function, use,|Функция, использование,
(4) What words indicate the purpose of something?|(4) Какие слова указывают на цель что-то?
for, be for, for the sake of, serve to, so, so that, to, toward, with a view to, with the aim of,|для, быть для, ради, служат для, так, так, что для, к, с целью, с целью,
(5) What words indicate that something is done or made for a particular purpose?|(5) Какие слова показывают, что что-то делается для определенной цели?
be meant to do something, supposed to do something, be intended to do something, be designed to do something,|иметь в виду, чтобы сделать что-то, должен сделать что-то, быть предназначены, чтобы сделать что-то, быть разработаны, чтобы сделать что-то,
(6) What words refer to trying to reach a goal?|(6) Какие слова относятся к попытке достижения цели?
to strive toward a goal, press on, aim for, endeavor, head for, try to accomplish,|стремиться к цели, нажмите на, стремиться к, деятельности, голову, попробуйте выполнить,
(7) What words refer to reaching a goal?|(7) Какие слова относятся к достижению цели?
reach, attain, surpass|достичь, достичь, превзойти
(8) What words refer to failing to reach a goal?|(8) Какие слова относятся к неспособности достичь цели?
fail to reach, miss, fall short of|не достичь, мисс, лишены
(9) What words refer to not having any purpose?|(9) Какие слова относятся к не имеющим никакой цели?
purposeless, without purpose, lack a goal, aimless, drifting, no direction,|бесцельной, без цели, не хватает цели, бесцельной, дрейфующих, нет направления,
Choose|Выбирать
Use this domain for words related to choosing something--to want one thing (or person) from a group of things, or to choose to do one thing from several possible things you could do.|Используйте этот домен для слов, связанных к выбору что-то - чтобы хотеть одно (или лицо) из группы вещей, или выбрать, чтобы сделать одну вещь из нескольких возможных вещей, которые вы могли бы сделать.
(1) What words refer to choosing something?|(1) Какие слова относятся к выбору что-то?
choose, select, prefer, decide on, pick, designate, elect, favor, opt for, specify, vote, would rather have|выбрать, выберите, предпочитают, выбрали, выбрать, назначить, избранный, одолжение, выбрать, укажите, голос, предпочел бы
(2) What words refer to the thing that is chosen?|(2) То, что слова относятся к вещи, которая выбрана?
choice, selection, preference, decision|Выбор, выбор, предпочтение, решение
(3) What words refer to the things that could be chosen?|(3) Какие слова относятся к вещам, которые могут быть выбраны?
alternative, option, selection, candidate|Альтернативой, вариант, выбор, кандидат
Cast lots|Бросать жребий
Use this domain for words referring to casting lots--to make a decision by chance.|Используйте этот домен для слов, относящихся к жребию - для принятия решения случайно.
(1) What is the general term for making a decision by chance?|(1) Что такое общий термин для принятия решения случайно?
cast lots [in English and many languages there isn't a generic term; 'cast lots' is archaic]|жребий [на английском языке и на многих языках нет общий термин; &quot;Жребий&quot; является архаичным]
(2) What methods are used for making a decision by chance?|(2) Какие методы используются для принятия решения случайно?
roll a die, flip a coin, draw straws, pick names out of a hat, rock-paper-scissors, pick a card (out of a deck), count off, decide who goes first|бросьте кубик, монетку, рисовать соломкой, выбрать имена из шляпы, рок-ножницы-бумага, выбрать карту (из колоды), отсчитать, решить, кто идет первым
(3) What kind of decisions are made by these methods?|(3) Какие решения принимаются с помощью этих методов?
deciding who goes first in a game, deciding who dies (e.g. who gets the life preserver), deciding who is guilty|решить, кто идет сначала в игре, решить, кто умрет (например, кто получает спасательный круг), решить, кто виноват
(4) What do people say when a decision has been made?|(4) Что люди говорят, когда было принято решение?
X team has won the toss. OK, John goes first. I win. The Lord's will be done. It is the will of the gods. The gods have spoken.|Х команда выиграла жеребьевку. ОК, Джон идет в первую очередь. Я выигрываю. Господа будет сделано. Это воля богов. Боги говорили.
(5) What is the validating principle behind these methods?|(5) Что проверки Принцип этих методов?
fate, chance, God's will, social consensus|Судьба, шанс, воля Божья, социальный консенсус
Intend|Намереваться
Use this domain for words related to intending to do something--to do something intentionally and not by accident.|Используйте этот домен для слов, связанных с намереваясь сделать что-то - что-то делать намеренно, а не случайно.
(1) What words refer to intending to do something?|(1) Какие слова относятся к намереваясь сделать что-то?
intend, aim, expect, mean to do something, plan, purpose, resolve, be set on,|намерены, цель, ожидать, значит, что-то делать, план, цель, решить, быть установлен на,
(2) What words refer to what is intended?|(2) То, что слова относятся к тому, что предназначено?
intent, intention, impulse, aim, purpose, resolution|Цель, намерение, импульс, цель, назначение, разрешение
(3) What words describe something that someone intended to do?|(3) Какие слова описывают то, что кто-то намеревался сделать?
intentional, intentionally, on purpose, because I wanted to|умышленное, умышленно, с целью, потому что я хотел, чтобы
Deliberately|Сознательно
Use this domain for words related to doing something deliberately--to intend to do something, as opposed to doing something accidentally.|Используйте этот домен для слов, связанных с делать что-то намеренно - чтобы намерены сделать что-то, в отличие от делать что-то случайно.
(1) What words refer to doing something deliberately?|(1) Какие слова относятся к делать что-то намеренно?
deliberately, on purpose, intentionally, pointedly, make a point of, knowingly, consciously, willfully, mean to do something|сознательно, с целью, умышленно, демонстративно, сделать точку, не зря, сознательно, умышленно, значит что-то делать
(2) What words describe something that is done deliberately?|(2) Какие слова описывают то, что делается сознательно?
deliberate, intentional, conscious, calculated, premeditated|преднамеренное, умышленное, сознательное, рассчитывается, умышленное
(3) What words refer to not doing something deliberately?|(3) Какие слова относятся не делать что-то намеренно?
accidentally, by accident, by mistake, unintentionally, not mean to do something, inadvertently, unconsciously|случайно, случайно, по ошибке, случайно, не означает, что-то сделать, невольно, бессознательно
(4) What words describe something that is not done deliberately?|(4) Какие слова описывают то, что не сделано намеренно?
accidental, unintentional, unconscious, involuntary|случайно, непреднамеренное, без сознания, непроизвольное
